Provincia, Afiliados 2020, Afiliados 2021, Afiliados 2022, Afiliados 2023
Azua,36193,37203,39088,39776
Bahoruco,21667,21522,22226,21684
Barahona,38736,38617,39753,39113
Dajabon,17413,17111,17385,16678
Distrito Nacional,339756,427452,491162,524372
Duarte,55690,55736,58849,53686
El Seybo,19245,20271,20768,20073
Elias Piña,23042,21974,21757,21226
Espaillat,48879,49323,49981,47847
Hato Mayor del Rey,19335,20642,20961,20315
Hermanas Mirabal,22997,22463,22772,21009
Independencia,13691,14398,15333,15325
La Altagracia,27047,40555,44787,45054
La Romana,37952,46140,49335,49813
La vega,70310,73109,75265,72377
Maria Trinidad Sanchez,26829,25901,27484,24965
Monseñor Nouel,30665,31353,32369,30616
Monte Plata,39038,38959,39713,39486
Montecristi,19769,19381,19891,18743
Pedernales,4427,4500,4688,4752
Peravia,22834,23280,24540,23135
Puerto Plata,56716,62397,65183,62942
Samana,16162,16167,17809,16380
San Cristóbal,89466,94667,98457,98987
San jose de Ocoa,14977,14518,14490,13869
San Juan de la Maguana,72456,71153,71540,69502
San Pedro de Macorís,49960,56790,59579,57762
Sanchez Ramirez,34251,33799,34808,32968
Santiago,165241,179092,190124,188558
Santiago Rodriguez,16860,16304,16417,15461
Santo Domingo,135074,172007,196901,212489
Valverde,25870,26709,28115,26133
Total general,1612548,1793493,1931530,1945096
